"","Gender","SeniorCitizen","Tenure","MultipleLines","InternetService","OnlineBackup","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn"
"3904","Male","No","TRUE","No","Fiber optic","Yes","No","No","Month-to-month","Yes","Mailed check","No"
"4796","Female","No","TRUE","No","No","No","No","No","One year","No","Bank transfer (automatic)","Yes"
"360","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","No","Electronic check","No"
"1954","Male","No","FALSE","No","Fiber optic","Yes","No","No","Month-to-month","Yes","Electronic check","Yes"
"6646","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"6497","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","No","Electronic check","Yes"
"5381","Male","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"5559","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"3072","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Mailed check","No"
"3400","Female","No","TRUE","Yes","DSL","No","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"1771","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"2004","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Two year","Yes","Electronic check","Yes"
"3637","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"1637","Female","No","TRUE","Yes","No","No","No","No","One year","No","Bank transfer (automatic)","No"
"5396","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Credit card (automatic)","Yes"
"6444","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"4454","Male","No","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"3194","Female","No","FALSE","No","No","No","No","No","Two year","No","Mailed check","No"
"4843","Male","Yes","FALSE","Yes","DSL","No","No","No","Month-to-month","No","Electronic check","Yes"
"4693","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)","No"
"2991","Male","No","FALSE","No","DSL","No","No","Yes","Month-to-month","Yes","Mailed check","Yes"
"1605","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","No","One year","No","Credit card (automatic)","No"
"3144","Male","No","TRUE","Yes","DSL","Yes","Yes","No","Month-to-month","Yes","Electronic check","No"
"6857","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Credit card (automatic)","No"
"465","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"1537","Male","No","TRUE","No","DSL","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)","No"
"1300","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"2402","Male","Yes","FALSE","No","DSL","Yes","No","No","Month-to-month","Yes","Electronic check","No"
"1994","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"3587","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Mailed check","Yes"
"6107","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","Yes"
"1276","Female","No","TRUE","No","DSL","Yes","No","No","Two year","No","Mailed check","No"
"3020","Female","No","TRUE","No","DSL","Yes","No","No","Month-to-month","No","Electronic check","Yes"
"6697","Male","No","FALSE","Yes","Fiber optic","Yes","No","Yes","Month-to-month","No","Electronic check","No"
"4062","Female","No","TRUE","No","DSL","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"4447","Male","Yes","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"4642","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Mailed check","No"
"6573","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No"
"1339","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","Yes"
"5521","Female","No","TRUE","Yes","Fiber optic","No","No","No","One year","Yes","Credit card (automatic)","No"
"7006","Male","No","TRUE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"3597","Female","No","FALSE","No","DSL","Yes","No","No","Month-to-month","No","Electronic check","Yes"
"1272","Female","No","TRUE","No","DSL","Yes","Yes","No","One year","Yes","Electronic check","No"
"3332","Male","No","FALSE","No","No","No","No","No","Two year","No","Mailed check","No"
"3830","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"2776","Male","Yes","TRUE","Yes","DSL","No","No","No","One year","Yes","Electronic check","Yes"
"4124","Male","Yes","TRUE","No","Fiber optic","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"1603","Male","No","TRUE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"2173","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"6017","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","No","Electronic check","Yes"
"2927","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"1980","Female","No","TRUE","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)","No"
"4963","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Month-to-month","No","Mailed check","No"
"4768","Male","No","FALSE","No","No","No","No","No","One year","No","Credit card (automatic)","No"
"258","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","No","Credit card (automatic)","No"
"5090","Male","No","FALSE","No","DSL","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"3902","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"1388","Male","No","TRUE","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"3895","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","No","Mailed check","No"
"6942","Female","No","TRUE","No","DSL","Yes","No","Yes","One year","Yes","Bank transfer (automatic)","No"
"6417","Male","No","TRUE","No","DSL","No","Yes","No","Two year","No","Electronic check","No"
"2181","Male","Yes","TRUE","No","Fiber optic","Yes","No","Yes","Two year","Yes","Credit card (automatic)","No"
"2185","Female","Yes","FALSE","Yes","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","Yes"
"833","Female","No","TRUE","No","DSL","Yes","No","Yes","One year","No","Credit card (automatic)","No"
"1936","Female","No","TRUE","No","No","No","No","No","One year","Yes","Bank transfer (automatic)","No"
"636","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"3636","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Electronic check","No"
"6266","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Mailed check","No"
"6424","Female","No","TRUE","Yes","No","No","No","No","Two year","No","Credit card (automatic)","No"
"709","Male","No","TRUE","No","Fiber optic","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"4424","Male","No","TRUE","No","DSL","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)","No"
"4918","Female","No","TRUE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"26","Female","No","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"529","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"6333","Male","No","TRUE","No","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"4075","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"4331","Male","No","TRUE","No","Fiber optic","Yes","No","No","Month-to-month","Yes","Electronic check","Yes"
"5073","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"948","Female","Yes","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Mailed check","No"
"3490","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"3574","Female","No","TRUE","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"6418","Female","Yes","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"1894","Male","No","TRUE","Yes","DSL","Yes","No","Yes","Month-to-month","Yes","Electronic check","No"
"4721","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","No","Electronic check","No"
"3580","Male","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"6396","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Electronic check","Yes"
"3231","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"4557","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"6124","Male","No","TRUE","Yes","Fiber optic","No","No","Yes","One year","No","Electronic check","No"
"6955","Male","No","TRUE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"766","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","Yes","Mailed check","No"
"6259","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"1293","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"913","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Bank transfer (automatic)","No"
"4320","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Credit card (automatic)","No"
"2005","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Mailed check","Yes"
"203","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Two year","No","Electronic check","No"
"1648","Male","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"3050","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Electronic check","Yes"
"572","Male","Yes","TRUE","Yes","DSL","Yes","No","No","Two year","No","Bank transfer (automatic)","No"
"1798","Female","No","TRUE","No","No","No","No","No","Two year","No","Credit card (automatic)","No"
"6334","Female","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Electronic check","Yes"
"6964","Male","No","FALSE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"2695","Male","No","FALSE","No","No","No","No","No","Month-to-month","No","Credit card (automatic)","No"
"144","Male","No","TRUE","Yes","Fiber optic","Yes","No","No","One year","Yes","Credit card (automatic)","No"
"5863","Female","No","TRUE","No","Fiber optic","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"2396","Female","Yes","TRUE","Yes","Fiber optic","No","Yes","No","One year","Yes","Electronic check","No"
"4731","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"5143","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","No","One year","Yes","Bank transfer (automatic)","No"
"1471","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"6481","Female","No","TRUE","No","DSL","No","No","No","Month-to-month","No","Mailed check","No"
"543","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"174","Female","No","TRUE","No","Fiber optic","No","Yes","Yes","One year","Yes","Bank transfer (automatic)","Yes"
"3981","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"4377","Female","No","TRUE","No","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","No"
"4336","Female","Yes","TRUE","No","Fiber optic","No","No","Yes","Month-to-month","Yes","Electronic check","No"
"4625","Male","No","FALSE","No","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"1549","Male","No","TRUE","No","Fiber optic","No","Yes","No","Month-to-month","No","Electronic check","No"
"6894","Female","No","FALSE","No","DSL","Yes","No","No","Month-to-month","No","Credit card (automatic)","Yes"
"3268","Male","No","TRUE","No","No","No","No","No","One year","No","Mailed check","No"
"806","Female","No","TRUE","Yes","DSL","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"5299","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"1139","Male","No","FALSE","Yes","DSL","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"3288","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","One year","Yes","Electronic check","Yes"
"374","Female","No","TRUE","Yes","Fiber optic","Yes","No","Yes","One year","Yes","Credit card (automatic)","No"
"6724","Male","No","TRUE","No","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"4289","Male","No","FALSE","Yes","Fiber optic","No","No","Yes","Month-to-month","No","Electronic check","Yes"
"5629","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","No","Month-to-month","Yes","Electronic check","Yes"
"3907","Female","No","FALSE","No","Fiber optic","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"6469","Male","No","TRUE","No","DSL","No","No","No","One year","No","Electronic check","No"
"701","Male","No","TRUE","Yes","DSL","No","Yes","No","Two year","Yes","Bank transfer (automatic)","No"
"6520","Male","No","TRUE","Yes","Fiber optic","Yes","No","Yes","One year","Yes","Electronic check","No"
"3961","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","No","Electronic check","No"
"338","Female","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"5007","Female","No","TRUE","Yes","DSL","No","No","No","Month-to-month","Yes","Mailed check","Yes"
"5965","Female","No","TRUE","No","DSL","No","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"2619","Male","No","TRUE","No","No","No","No","No","One year","No","Electronic check","No"
"1898","Male","Yes","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"3541","Female","No","TRUE","No","Fiber optic","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"1119","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No"
"4291","Female","No","FALSE","No","DSL","No","Yes","No","Month-to-month","No","Electronic check","Yes"
"6887","Female","Yes","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","No","Electronic check","Yes"
"6544","Female","No","TRUE","No","DSL","No","No","No","One year","No","Credit card (automatic)","No"
"6776","Male","Yes","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"4787","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"6925","Male","No","FALSE","No","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"4820","Male","No","TRUE","No","No","No","No","No","Two year","No","Bank transfer (automatic)","Yes"
"5895","Male","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","Yes"
"970","Female","No","FALSE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"5001","Male","No","FALSE","No","DSL","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"413","Female","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","No"
"5438","Female","Yes","TRUE","Yes","DSL","No","No","Yes","Month-to-month","Yes","Mailed check","Yes"
"1587","Female","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No"
"6227","Male","No","TRUE","Yes","No","No","No","No","Two year","No","Mailed check","No"
"364","Female","No","TRUE","No","No","No","No","No","Two year","Yes","Mailed check","No"
"4441","Male","No","TRUE","No","DSL","Yes","No","Yes","Two year","Yes","Electronic check","No"
"114","Female","Yes","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"1856","Male","No","TRUE","No","No","No","No","No","Two year","Yes","Mailed check","No"
"1242","Male","No","TRUE","Yes","DSL","No","No","Yes","Month-to-month","Yes","Mailed check","No"
"4612","Female","No","TRUE","Yes","No","No","No","No","Two year","Yes","Credit card (automatic)","No"
"3305","Male","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Two year","Yes","Electronic check","No"
"1950","Male","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"3245","Male","No","FALSE","Yes","DSL","No","No","No","Month-to-month","Yes","Credit card (automatic)","No"
"4473","Male","No","TRUE","No","Fiber optic","No","No","No","Two year","No","Credit card (automatic)","No"
"3986","Male","Yes","TRUE","No","DSL","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"3678","Female","No","FALSE","No","DSL","No","No","No","Month-to-month","No","Mailed check","No"
"1589","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","No"
"2194","Male","No","TRUE","No","No","No","No","No","One year","Yes","Mailed check","No"
"4202","Female","No","TRUE","No","No","No","No","No","Two year","No","Bank transfer (automatic)","No"
"6287","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"602","Male","No","FALSE","No","No","No","No","No","One year","No","Mailed check","No"
"3677","Male","No","TRUE","No","DSL","Yes","Yes","No","One year","No","Electronic check","No"
"7039","Male","No","TRUE","Yes","DSL","No","Yes","Yes","One year","Yes","Mailed check","No"
"5928","Male","No","TRUE","Yes","No","No","No","No","Two year","No","Mailed check","No"
"6829","Female","No","FALSE","No","No","No","No","No","Two year","No","Mailed check","No"
"5752","Female","No","TRUE","No","No","No","No","No","Two year","No","Credit card (automatic)","No"
"5695","Female","No","TRUE","No","DSL","No","No","No","One year","Yes","Mailed check","No"
"1831","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"1337","Female","No","TRUE","No","Fiber optic","Yes","No","No","Month-to-month","No","Bank transfer (automatic)","No"
"3955","Male","Yes","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"6947","Female","No","TRUE","No","DSL","Yes","No","Yes","Month-to-month","No","Credit card (automatic)","No"
"349","Female","No","TRUE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"947","Male","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"3783","Female","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Electronic check","No"
"1523","Female","No","TRUE","No","DSL","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"3646","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"2883","Female","No","FALSE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Electronic check","No"
"2984","Male","No","TRUE","Yes","DSL","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No"
"758","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"2327","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","No","Credit card (automatic)","No"
"2246","Female","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"6822","Female","No","TRUE","Yes","Fiber optic","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","Yes"
"3299","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"5679","Female","No","FALSE","No","DSL","Yes","No","No","Month-to-month","Yes","Electronic check","Yes"
"3174","Female","No","TRUE","No","No","No","No","No","One year","No","Mailed check","No"
"3343","Male","No","TRUE","No","DSL","Yes","Yes","Yes","One year","No","Credit card (automatic)","No"
"6736","Female","No","TRUE","No","DSL","Yes","Yes","Yes","Two year","No","Credit card (automatic)","No"
"5371","Male","No","TRUE","Yes","Fiber optic","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No"
"490","Male","No","FALSE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Electronic check","Yes"
"5732","Female","No","FALSE","No","No","No","No","No","Month-to-month","Yes","Mailed check","No"
"6506","Male","No","TRUE","No","DSL","Yes","No","No","Two year","Yes","Bank transfer (automatic)","No"
"3911","Female","No","TRUE","Yes","Fiber optic","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","Yes"
"5513","Female","No","FALSE","Yes","DSL","Yes","No","No","Month-to-month","Yes","Mailed check","No"
"6493","Male","No","TRUE","No","No","No","No","No","Two year","No","Mailed check","No"
"3417","Male","No","TRUE","No","DSL","No","Yes","Yes","Month-to-month","Yes","Mailed check","No"
"6572","Female","No","TRUE","No","DSL","Yes","No","No","One year","No","Mailed check","No"
"2756","Male","No","TRUE","No","No","No","No","No","Month-to-month","No","Electronic check","No"
"2135","Female","No","FALSE","No","No","No","No","No","Month-to-month","No","Mailed check","No"
"3707","Male","No","TRUE","Yes","Fiber optic","No","No","No","Month-to-month","Yes","Mailed check","No"
"5269","Male","No","TRUE","Yes","DSL","No","Yes","Yes","Two year","No","Bank transfer (automatic)","No"
"6313","Male","No","TRUE","No","Fiber optic","Yes","Yes","Yes","One year","Yes","Credit card (automatic)","Yes"
"6973","Female","Yes","TRUE","Yes","Fiber optic","Yes","Yes","Yes","One year","Yes","Electronic check","Yes"
